step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3
9800,9.8,0.0979999999999987,12.9938990939458,0.000585888128687555,-0.00214563336411366,300.707522681277,-4.75770332411033,159.79093695164,92.2497388357271,126.954553544205,1871395.45835971,4.58840120822181
9900,9.9,0.0989999999999988,13.1017420705517,0.00581969186351027,0.00932710647104821,299.948509983029,-4.75603067315745,159.870560974401,92.2956049064472,126.813805702138,1871182.10468939,4.58892438137325
10000,10,0.0999999999999987,13.2001578060149,-0.000859363561569764,0.00655443409705503,300.155336148819,-4.75442428602826,159.956923467185,92.3481958474239,126.673057860072,1871180.62643429,4.58892800667847
10100,10.1,0.100999999999999,13.3083221894372,0.0103421162576845,-0.00294130835311544,300.41583570102,-4.75277185729017,160.030150556536,92.4033585275736,126.532310018005,1871074.18588736,4.58918905886472
10200,10.2,0.101999999999999,13.3987053942704,0.00540312513985355,0.000169920966379739,301.371866980001,-4.75130729263464,160.119115730803,92.4526331264706,126.391562175938,1871029.13153738,4.58929956645998
10300,10.3,0.102999999999999,13.4988646091624,0.00215747810190925,0.00939335902705832,299.974429961978,-4.74974606029385,160.215297612195,92.4925813865294,126.250814333871,1870876.28217846,4.58967450920915
10400,10.4,0.103999999999999,13.5992879241192,0.00770058113999138,0.00100431883063738,299.081101301553,-4.74812810229637,160.306978859702,92.5399078370638,126.110066491805,1870816.73784127,4.58982058932542
10500,10.5,0.104999999999999,13.6932386722581,-0.000779004211017511,0.00106511338787143,299.35177420507,-4.74645772344655,160.387497532036,92.5969465016826,125.969318649738,1870819.79781655,4.58981308206172
10600,10.6,0.105999999999999,13.7945402154128,0.0059020393527163,0.00987140316724351,298.668243740187,-4.7446067949973,160.467979591555,92.6486729182568,125.828570807671,1870711.65201352,4.59007841906381
10700,10.7,0.106999999999999,13.8872044368132,0.00524624788640991,-0.00309452371235363,299.513781596824,-4.74302776569473,160.56324578725,92.6991395422368,125.687822965604,1870746.94924206,4.58999181352529
10800,10.8,0.107999999999999,13.9798057526193,0.000445676138592906,0.00716360885410262,300.340591075066,-4.7414558821966,160.652006239156,92.7485564471645,125.547075123538,1870681.76017964,4.59015176444222
10900,10.9,0.108999999999999,14.0682261855474,0.00455698201739918,0.00139985452908063,299.769073610298,-4.73966120534314,160.736292944855,92.8063482022483,125.406327281471,1870729.87208301,4.59003371375974
11000,11,0.109999999999999,14.164734626262,0.00720435544087023,0.00140178727242575,300.749074550395,-4.7379865437189,160.834612983422,92.8506878475762,125.265579439404,1870666.61394802,4.5901889295369
11100,11.1,0.110999999999999,14.2476844273621,-0.00490465901597637,0.0042360753543562,301.532549766337,-4.7362256638914,160.933844630867,92.9034397402317,125.124831597337,1870779.86273052,4.58991105969339
11200,11.2,0.111999999999999,14.3405479532236,0.00721422060386561,0.00715848869804423,300.334879960026,-4.73442440627902,161.008106910023,92.9622489224695,124.984083755271,1870721.23494846,4.59005490598124
11300,11.3,0.112999999999999,14.4247608056261,0.0102323654957422,-0.00528227543708341,299.958780146687,-4.73288487616744,161.097422841807,93.016223400262,124.843335913204,1870736.67378436,4.59001702512636
11400,11.4,0.113999999999999,14.5181720358873,0.00931370516167052,0.0071044141122742,299.298748643075,-4.73108762854273,161.197444236181,93.0596412144653,124.702588071137,1870660.57135973,4.59020375671735
11500,11.5,0.114999999999999,14.5939539872456,-0.00241406582177924,0.00944473150782186,298.947649923892,-4.72918128308815,161.297369684598,93.1161552135505,124.56184022907,1870842.97100495,4.58975623036175
11600,11.6,0.115999999999999,14.6862343052548,0.00925768895575979,0.00426533185295415,300.164491003472,-4.72744402806536,161.376886704356,93.1742518519342,124.421092387004,1870816.7819293,4.58982048116081
11700,11.7,0.116999999999999,14.7647399061845,0.0122787494875021,-0.00477347502405608,301.11473336402,-4.7257339067984,161.467428699589,93.232171840373,124.280344544937,1870911.2186357,4.58958880393055
11800,11.8,0.117999999999999,14.8443344471604,-0.00160342125945548,0.00857116940329997,300.368967078368,-4.72385047604458,161.57713999015,93.2781943601527,124.13959670287,1870985.30865059,4.58940705867512
11900,11.9,0.118999999999999,14.9243377012068,0.0013336665570167,0.00528512094552467,300.366432500211,-4.72203043899746,161.674056943952,93.3326583535891,123.998848860803,1871076.85057236,4.58918252319342
12000,12,0.119999999999999,15.0097632697794,0.0148915762249259,0.0040387798829039,299.475130164602,-4.7200194136428,161.760174712737,93.3913715091247,123.858101018737,1871124.89836658,4.58906467959158
12100,12.1,0.120999999999999,15.083068270852,0.00450150958618719,0.00498321031995346,300.425990019982,-4.71810553293113,161.867139066052,93.4441236573886,123.71735317667,1871290.9030685,4.58865757756753
12200,12.2,0.121999999999999,15.1564649282095,0.000979298826454479,0.0112921159415913,301.563778125167,-4.71639709590035,161.967508829217,93.4966581451229,123.576605334603,1871372.53606507,4.58845741118641
12300,12.3,0.122999999999999,15.2364362126268,0.00884141318561237,-0.0051089500034154,300.167265034599,-4.71455989230137,162.048123548518,93.5620794880321,123.435857492536,1871480.08747909,4.58819371878271
12400,12.4,0.123999999999999,15.3117304989304,0.0105631926685625,0.00851580306137793,299.097781050133,-4.71267095576413,162.144160466718,93.6152333603064,123.29510965047,1871516.61828396,4.58810416018204
12500,12.5,0.124999999999999,15.3752386437799,0.0030753985454183,0.00654973436441249,300.007446469826,-4.71083847519581,162.250212544222,93.6715319108573,123.154361808403,1871727.81895517,4.58758645099997
12600,12.6,0.125999999999999,15.4516024655443,0.00879090440393911,0.00700544172760465,300.338173371035,-4.70885075907747,162.349255399544,93.7265951065033,123.013613966336,1871829.63612283,4.58733691169905
12700,12.7,0.126999999999999,15.5249715673584,0.0028932172109988,0.00900719675984309,299.148575748287,-4.70677056327735,162.450651238791,93.784371710251,122.872866124269,1872008.94118488,4.58689752665579
12800,12.8,0.127999999999999,15.592486544028,0.00346490558893017,0.00592522147927934,299.473618881125,-4.70488655666754,162.550356435274,93.8428985670269,122.732118282203,1872179.86275994,4.58647876360558
12900,12.9,0.128999999999999,15.6614968845366,0.00639764227955867,0.00357342711016402,300.05999053804,-4.70298970016124,162.648830805378,93.9019968037643,122.591370440136,1872344.12912662,4.58607637806618
13000,13,0.129999999999999,15.731591300754,0.0119257247614022,0.00571559701211705,299.469592694968,-4.70091688014508,162.743632535824,93.9627244269328,122.450622598069,1872494.72819689,4.58570753385618
13100,13.1,0.130999999999999,15.7953298513449,0.00166473775495256,0.011046007831553,300.452899898813,-4.69892834114732,162.854266326445,94.0196813561924,122.309874756002,1872748.40901235,4.58508635803723
13200,13.2,0.131999999999999,15.8529046990179,-0.000336108834190115,0.00925730705205153,301.640514278219,-4.69705151003044,162.965916404424,94.0750406387111,122.169126913936,1872977.96441444,4.58452440196379
